,Ex Rate (sight bill),Thai Hom Mali Rice Grade B,White Broken Rice A.1 Super,White Glutinous Rice 10%,Parboiled Rice 100%,Estimated Temperature,Estimated Precipitation,Vietnam_White_5%,India_White_5%,Pakistan_White_5%
724,34.3875838599887,835.3273585214176,428.66042423853537,739.0737496689085,492.1407161875561,23.653770398665316,555.8419343061828,446.7892803141135,386.55474646007536,451.6492797095913
725,34.300374628899235,829.5754240267528,432.17915622027925,737.0104206362713,495.96892013587365,23.644680684716143,616.6944279022963,446.0645565357117,387.46506154710227,451.85357236746796
726,34.32629455483446,831.1610681641804,432.5423306500221,726.0724682396351,501.14963859401297,23.54311707477556,423.147366096689,446.60213552078665,385.8040656173111,449.09223359224654
727,34.416541722063116,819.5277570582082,432.7439216709374,722.7224491920189,499.81195025655904,23.40100170663658,367.77259888275296,445.5786006672722,386.4082202702263,459.4533291178361
728,34.312646213862095,816.8152568241188,437.23031694437117,721.4882833370808,504.90687137955024,23.388602539738244,352.7917774954967,441.7718590180575,381.482519367279,457.88786487186337
729,34.372989826115074,818.3474088365908,439.84423673018347,724.8215014721326,506.28709477108674,23.48991680302314,288.6630111510815,442.87097987537845,381.9028692130268,455.4089107923044
730,34.40915233803321,817.980737022652,440.3848746531259,715.2877430250445,506.50289217887075,23.327493052259157,263.93514799004635,442.6822040272418,381.69270464562703,456.6476131682379
731,34.351092232351384,819.1916355754577,443.3260005959379,712.2191458594624,512.413546253196,23.299386460704596,237.2573158618498,446.2136869061185,383.2338890376542,461.8278654819759
732,34.30680685893422,823.4055505556245,442.97725821167063,715.877846669785,513.3448251471859,23.65219584312964,200.32508035525538,447.59265461538143,382.8677502918496,460.1072701271158
733,34.27452139381213,825.3206997449566,444.4101413132002,716.4458979508998,511.1975369496111,23.782795165821355,163.92213554990582,448.1930555496924,381.6768588429862,463.66576974055914
734,34.31208549375868,823.7042196768433,444.81181304132537,718.9138527053158,511.47928716732906,23.743422664550323,163.09739247328562,447.82328744685066,383.14797746831897,464.7941907565852
735,34.24629544808981,826.3327189971649,449.28372414387366,728.3201785773879,512.5505361108203,24.197536479280032,242.6451063604663,453.10490373825627,383.1479772816314,464.21114719231593
736,34.398442784503416,821.8349229823702,450.1531040558772,731.0406868432863,511.36568325329813,24.18687452835536,241.0358212058625,453.35485817002893,383.42818875317516,464.2457282446047
737,34.48147599670192,821.1819190848781,453.81449297775964,728.329685203645,511.286365113358,24.202683994004232,240.26414433666193,455.6037157188402,382.3774111103701,465.09907666339774
738,34.49084746877663,826.912478729523,452.39756549383986,728.2285438962658,509.28044771934134,24.37781173535783,239.4379947479805,450.5965149173327,383.0079011968792,460.23967112155105
739,34.529654109849496,830.8578720954548,453.64637777428425,727.9735419777641,512.3608013002558,24.336895397181767,248.4716159050113,450.68382392334956,383.0079012881176,460.39461898786385
740,34.57733267161589,832.0243294118052,455.10436086842697,730.5788180918432,515.1642298966866,24.633291191781094,362.0068176102461,455.00892112007136,383.0916375083509,464.0421487212245
